"ensembl_gene_id"	"hgnc_symbol"	"MCF10A_R1"	"MCF10A_R2"	"MCF10A_R3"	"MCF7_R1"	"MCF7_R2"	"MCF7_R3"	"MDA-MB-231_R1"	"MDA-MB-231_R2"	"MDA-MB-231_R3"
"ENSG00000000003"	"TSPAN6"	22.2000159206687	34.1991119422038	17.1660040076042	18.0029023303821	15.0336336709432	13.8677715893317	20.91041406691	19.7043429054185	18.4244106743014
"ENSG00000000419"	"DPM1"	21.359342106001	12.3672065326051	21.7109745187825	63.2452190930628	52.4774039340391	51.5537551077723	21.5777677073433	20.3713446398755	22.3907768611302
"ENSG00000000457"	"SCYL3"	15.5057614705372	12.4934025176316	8.19842757593316	7.88145493726406	8.45892454551737	8.54690454448236	8.30484530316994	9.61594167175571	7.52330102533975
"ENSG00000000460"	"C1orf112"	10.8042153218402	2.17688074170854	13.0405692359193	10.8404573172193	12.7485213529598	11.8986318168284	24.0988814600914	22.1222241928253	24.5402914397987
"ENSG00000000971"	"CFH"	1.52566729328579	17.7305358962348	0.804110167362314	0.0276542278500493	0.0200448448945909	0.0209482954521626	20.3913612354619	21.4274307194325	21.4695563274151
"ENSG00000001036"	"FUCA2"	93.6261541002116	30.8233693427427	68.4018061932334	66.2595299287182	65.0455216829476	64.2274738563306	58.5417443468988	53.2767635397563	56.4759366085879
"ENSG00000001084"	"GCLC"	29.5792638494184	44.0739477705338	53.5782100644673	31.3598943819559	25.6974911548656	27.4213187468809	16.1277129771381	16.0358333659048	18.2452844594124
"ENSG00000001167"	"NFYA"	10.7730792546303	13.3767744128177	11.4847908686313	14.5184696212759	11.9467275571762	13.5325988620971	15.868186561414	13.1177007776552	15.148959887759
"ENSG00000001460"	"STPG1"	4.26564120775823	2.99715464438133	5.78609707384622	1.9081417216534	2.04457417924828	1.9062948861468	3.85582103361462	4.05759388461368	3.63370321632056
"ENSG00000001461"	"NIPAL3"	89.1425604219839	94.7100867624499	53.8928618690873	7.16244501316278	8.27852094146606	8.27457670360424	33.5530580328964	31.9049162981952	35.8252429778083
"ENSG00000001497"	"LAS1L"	12.672379354435	11.2945406598791	20.504809267739	16.7308078492798	19.9847103599072	20.6969159067367	26.1380175836375	25.5128163429819	29.2999308639932
"ENSG00000001561"	"ENPP4"	6.88107085339101	11.1998936711092	5.19175477623059	10.5362608108688	8.27852094146606	9.21724999895156	4.07827224709238	4.36330301290649	4.14549240171782
"ENSG00000001617"	"SEMA3F"	27.8356440856632	41.833969036312	14.6487895706439	10.1767558488182	15.1739475852053	13.8258749984273	1.11225606738883	1.05608607955699	1.07475728933425
"ENSG00000001629"	"ANKIB1"	69.0286610043795	70.7013006111427	68.2619609467356	92.0885787406643	72.863011191838	76.0423124913504	64.9928295377541	66.6445899678329	69.8080448881865
"ENSG00000001630"	"CYP51A1"	6.38289377803238	2.96560564812468	5.90846166453179	3.45677848125617	6.57470912542583	6.2216437492923	4.70855068527939	7.83727037987026	5.06671293543289
"ENSG00000001631"	"KRIT1"	39.6984856926404	37.6695015304348	38.0029457357755	25.6354692169957	20.9268180699529	21.8700204520578	17.128743437788	17.7867129188545	19.0385576967781
"ENSG00000002016"	"RAD52"	8.06424140736774	7.13007315400189	5.50640658085063	3.42912425340612	3.7684308401831	3.18414090872872	4.56024987629421	5.61393126501345	5.57850212083016
"ENSG00000002079"	"MYH16"	1.27657875560648	1.48280282406234	1.55577836728796	0	0.0400896897891819	0.0209482954521626	1.52008329209807	0.972710862749855	1.50977809692192
"ENSG00000002330"	"BAD"	8.15764960899748	16.2161840759158	12.3063816918059	9.40243746901677	19.7241273762775	14.4124272710879	30.9948690779021	34.1004636741163	28.0972262783097
"ENSG00000002549"	"LAP3"	30.6378901345554	32.2430741742917	30.3638991458335	35.342103192363	37.5640393324634	37.6650352229884	45.973250785405	43.0771953503507	44.679195885181
"ENSG00000002587"	"HS3ST1"	1.40112302444613	0.883371895186075	0.699226232488969	0.138271139250247	0.100224224472955	0.0837931818086506	5.19052831448121	5.4749725703349	5.34819698740139
"ENSG00000002726"	"AOC1"	1.08976235234699	29.2143705336538	7.09714625976304	0	0.100224224472955	0.0209482954521626	0	0	0.0255894592698631
"ENSG00000002746"	"HECW1"	0.747265613037937	0.504783940106329	1.06632000454568	0	0	0	0.741504044925888	0.805960429135594	0.716504859556167
"ENSG00000002822"	"MAD1L1"	7.87742500410826	7.79260207539145	10.3485482408367	11.6977383805709	20.0248000496963	18.1412238615728	27.5098000667504	24.9847733032034	24.6170598176083
"ENSG00000002834"	"LASP1"	111.716209149172	121.589831573112	127.031925787433	44.9657744841802	54.341574509236	51.5118585168679	213.738540949887	197.488096877156	207.172262248812
"ENSG00000002919"	"SNX11"	6.25834950919273	6.97232817271867	6.93982035745302	14.6843949883762	19.2230062539127	17.9945857934077	13.347072808666	12.367323826391	12.2829404495343
"ENSG00000003056"	"M6PR"	67.6898101143532	39.4362453208069	48.9982782416645	45.6571301804314	49.3504081304829	48.3277176081392	55.9094049874119	52.1650939823279	55.7338422897618
"ENSG00000003096"	"KLHL13"	0.0934082016297422	0.662528921389557	0.139845246497794	2.26764668370404	2.22497778329959	2.15767443157275	0.111225606738883	0.166750433614261	0.0767683778095893
"ENSG00000003137"	"CYP26B1"	2.80224604889227	3.8805265395674	5.24419674366727	0.470121873450839	0.380852052997228	0.460862499947578	1.66838410108325	2.30671433166394	2.48217754917672
"ENSG00000003147"	"ICA1"	17.6230140408114	15.4590081657563	17.8302689284687	30.8897725085051	27.0204509179086	24.1743329517957	4.5973250785405	5.66951474288487	4.73404996492467
